Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value,Revenue USD Mil,Gross Margin %,Operating Income USD Mil,Operating Margin %,Net Income USD Mil,Earnings Per Share USD,Shares Mil,Book Value Per Share * USD,Operating Cash Flow USD Mil,Cap Spending USD Mil,Free Cash Flow USD Mil,Free Cash Flow Per Share * USD,Working Capital USD Mil,COGS,Gross Margin,SG&A,R&D,Operating Margin,Net Int Inc & Other,EBT Margin,Net Margin %,Asset Turnover (Average),Return on Assets %,Return on Equity %,Return on Invested Capital %,Interest Coverage,Year over Year,3-Year Average,5-Year Average,10-Year Average,Cap Ex as a % of Sales,Free Cash Flow/Sales %,Free Cash Flow/Net Income,Cash & Short-Term Investments,Accounts Receivable,Inventory,Other Current Assets,Total Current Assets,Net PP&E,Intangibles,Other Long-Term Assets,Total Assets,Accounts Payable,Short-Term Debt,Accrued Liabilities,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Debt,Other Long-Term Liabilities,Total Liabilities,Total Stockholders' Equity,Total Liabilities & Equity,Current Ratio,Quick Ratio,Financial Leverage,Debt/Equity,Days Sales Outstanding,Days Inventory,Payables Period,Cash Conversion Cycle,Receivables Turnover,Inventory Turnover,Fixed Assets Turnover,Asset Turnover
4/6/18,1940.71,1979.19,1927.26,2.32325E+13,380912367,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
4/5/18,1983.69,1990.07,1974.36,2.3747E+13,2992920366,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
4/4/18,1969.72,1973.39,1919.55,2.35799E+13,1576349685,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
4/3/18,1947.18,1950.49,1919.4,2.32882E+13,960897252,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
4/2/18,1922.98,1965.38,1903.38,2.29987E+13,298903196,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
3/29/18,1967.81,1980.89,1945.58,2.35349E+13,1487792093,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
3/28/18,1941.24,1960,1932.22,2.32175E+13,5643056964,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
3/27/18,1946.54,1991.99,1935.15,2.32783E+13,62912446,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
3/26/18,1981.68,1983.49,1940.49,2.36985E+13,121335875,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
3/23/18,1930.24,1981.15,1928.91,2.30833E+13,240234302,5798.00,35.20,288.00,5.00,157.00,0.16,1064.00,0.74,281.00,-136.00,145.00,0.00,1200.00,64.78,35.22,9.00,21.25,4.97,-1.78,3.19,2.71,1.64,4.45,27.94,12.90,2.48,67.38,0.00,0.00,0.00,2.35,2.50,0.92,27.77,19.61,19.00,6.72,73.11,7.71,15.87,3.32,100.00,12.12,5.93,8.03,19.03,45.10,30.96,4.94,81.00,19.00,100.00,1.62,1.05,5.26,1.63,38.78,75.51,47.86,66.43,9.41,4.83,24.67,1.64
